id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image,Rank,Population, % of World Population,Date,Source
6238,513,Andres santo domingo,Santo domingo,None,40,United States,Food and Beverage ,beer,4.3 BUSD,0.001 millions USD,https://specials-images.forbesimg.com/imageserve/59d7b57c31358e542c036ac3/416x416.jpg?background=000000&cropX1=1245&cropX2=2367&cropY1=124&cropY2=1246,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4904,498,Archie aldis emmerson,Emmerson,M,89,United States,Manufacturing ,"timberland, lumber mills",4.2 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/b0fbe22d9c0799e3c6bb9ca811c78752/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=37&cropY2=637,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8994,807,Bobby murphy,Murphy,M,30,United States,Technology ,Snapchat,4.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbed78a7ea436b47b39fbd/416x416.jpg?background=000000&cropX1=616&cropX2=2174&cropY1=471&cropY2=2030,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4121,514,Igor olenicoff,Olenicoff,M,75,United States,Real Estate ,real estate,4.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/55faa6b6e4b0ffa7afe4ae7b/416x416.jpg?background=000000&cropX1=155&cropX2=653&cropY1=18&cropY2=516,3,"329,196,803",4.24%,17 Jan 2020,National population clock
5668,535,Isaac perlmutter,Perlmutter,M,75,United States,Media & Entertainment ,Marvel comics,4.1 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/58d533e431358e1a35ad984c/416x416.jpg?background=000000&cropX1=508&cropX2=1473&cropY1=61&cropY2=1025,3,"329,196,803",4.24%,17 Jan 2020,National population clock
7994,560,Ben ashkenazy,Ashkenazy,M,48,United States,Real Estate ,real estate,4.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59ef795e4bbe6f37dda1056d/416x416.jpg?background=000000&cropX1=1613&cropX2=3298&cropY1=1291&cropY2=2975,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1533,531,Dan friedkin,Friedkin,M,53,United States,Automotive ,Toyota dealerships,4.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8dd78231358e4955adfbaa/416x416.jpg?background=000000&cropX1=0&cropX2=2168&cropY1=356&cropY2=2525,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8989,548,Ronald lauder,Lauder,M,74,United States,Fashion & Retail ,Estee Lauder,4.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbce3ba7ea436b47b39bc9/416x416.jpg?background=000000&cropX1=1034&cropX2=2203&cropY1=148&cropY2=1317,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9492,485,Michael moritz,Moritz,M,63,United States,Technology ,venture capital,4.0 BUSD,3.895 millions USD,https://specials-images.forbesimg.com/imageserve/59dbd8bba7ea436b47b39d44/416x416.jpg?background=000000&cropX1=1200&cropX2=3680&cropY1=80&cropY2=2559,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9628,574,Rick caruso,Caruso,M,59,United States,Real Estate ,real estate,3.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8dd7e74bbe6f2652f6274e/416x416.jpg?background=000000&cropX1=0&cropX2=1983&cropY1=0&cropY2=1984,3,"329,196,803",4.24%,17 Jan 2020,National population clock
